,close ,OPEN ,date,pct_chn,logret
0,792.85,799.9,2013-06-21,0.0,0.0
1,792.65,790.0,2013-06-24,0.0062553312482229026,-0.0002522863463401137
2,803.8,799.7,2013-06-25,0.006049267227938912,0.013968719725863998
3,803.6,809.45,2013-06-26,0.006044449955054089,-0.00024884907432110026
4,830.0,816.5,2013-06-27,0.0042818098997874,0.032324067849863525
5,862.6,869.5,2013-06-28,0.030598695225448877,0.03852538342309941
6,885.7,862.0,2013-07-01,0.004291354351433312,0.026427208601794483
7,871.85,883.1,2013-07-02,0.012023134562238254,-0.015760902052034176
8,850.85,860.5,2013-07-03,0.013205948520174145,-0.02438154094605771
9,861.65,853.1,2013-07-04,0.004315497885989198,0.01261330591014076
10,880.35,866.35,2013-07-05,0.007585733096696628,0.021470399944867324
11,866.95,870.0,2013-07-08,0.002101384610955973,-0.015338250681771193
12,874.8,869.1,2013-07-09,0.0005160846378805993,0.00901398381193097
13,856.0,874.25,2013-07-10,0.002976448490102573,-0.021724912660871176
14,870.05,865.0,2013-07-11,0.005331258465173914,0.016280305119845018
15,889.95,874.25,2013-07-12,0.005243169708649813,0.022614600111174887
16,896.85,886.0,2013-07-15,0.006590571276327229,0.0077233426222615975
17,900.6,887.0,2013-07-16,0.0005594092638174089,0.004172583872447788
18,914.95,903.0,2013-07-17,0.008801122143073242,0.015808211106224768
19,917.25,918.0,2013-07-18,0.008173273395995096,0.0025106442616955604
20,923.7,919.05,2013-07-19,0.0005698005698005452,0.007007280363172441
21,909.05,915.0,2013-07-22,0.002220333872426718,-0.01598724543328256
22,909.55,912.05,2013-07-23,0.001619455423803275,0.0005498735429432244
23,909.35,908.0,2013-07-24,0.0022285195476930445,-0.00021991313519809097
24,890.75,905.95,2013-07-25,0.0011409806868146906,-0.020666254087081448
25,890.15,892.2,2013-07-26,0.007714534182399642,-0.0006738166350732655
26,885.7,887.05,2013-07-29,0.002905090960372354,-0.005011695035334718
27,857.35,887.05,2013-07-30,0.0,-0.032532056190676784
28,872.05,858.65,2013-07-31,0.016409545270699707,0.01700052508981731
29,850.0,875.15,2013-08-01,0.009564385705590818,-0.025610412230315127
30,857.35,860.0,2013-08-02,0.008821731155559424,0.008609887140497818
31,861.55,860.0,2013-08-05,0.0,0.0048868559642478715
32,841.05,858.45,2013-08-06,0.0009120329508678756,-0.02408198135131734
33,872.45,845.0,2013-08-07,0.007831377914932047,0.036654234606448455
34,865.65,867.35,2013-08-08,0.012896710905943463,-0.007824676019154708
35,845.65,869.0,2013-08-12,0.0009622955122036434,-0.0233751074050339
